cuenca,subcuenca,estacion
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),CPALMA(El Monumento)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),CREYLES(Carlos Reyles)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),EITACURU(Est. La Fé)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),ELCANADA(Est. Las Cañadas)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),ELIBERIA(Est. La Iberia)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),EMBONETE(E.M. Bonete)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),EMPTOROS(E.M. Paso de los Toros)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),EOLAZO(Est. Olazo)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),EROLON(Est. Rolón - Piquet)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),ESREAL(Est. S. Real)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),FRANCIA(Est. Francia)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),SALSI(Salsipuedes)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),SARNAVA(Sarandí de Navarro)
BAYGO(Central Baygorria),SDBAYGO(Directa Baygorria),UBAYGO(UTE Baygorria)
BAYGO(Central Baygorria),SSALSI(Salsipuedes),EITACURU(Est. La Fé)
BAYGO(Central Baygorria),SSALSI(Salsipuedes),EMQUADRO(Est. M.J.Quadros)
BAYGO(Central Baygorria),SSALSI(Salsipuedes),FRANCIA(Est. Francia)
BAYGO(Central Baygorria),SSALSI(Salsipuedes),PERALTA(Peralta)
BAYGO(Central Baygorria),SSALSI(Salsipuedes),PSOLA(Piedra Sola)
BAYGO(Central Baygorria),SSALSI(Salsipuedes),SALSI(Salsipuedes)
BAYGO(Central Baygorria),SSALSI(Salsipuedes),SARBOL(Arbolito (Salsipuedes))
BAYGO(Central Baygorria),SSALSI(Salsipuedes),TIATUC(Tiatucurá)
BRNEGRO(Bajo Río Negro),SDERURUG(Desemb. en Río Uruguay),CANITAS(Cañitas)
BRNEGRO(Bajo Río Negro),SDERURUG(Desemb. en Río Uruguay),EJIDO(Ejido)
BRNEGRO(Bajo Río Negro),SDERURUG(Desemb. en Río Uruguay),EMMERCE(E.M. Mercedes)
BRNEGRO(Bajo Río Negro),SDERURUG(Desemb. en Río Uruguay),VSORIA(Villa Soriano)
BRNEGRO(Bajo Río Negro),SMERCE(Mercedes),ACORTO(Arroyo Corto)
BRNEGRO(Bajo Río Negro),SMERCE(Mercedes),EGANA(Egaña)
BRNEGRO(Bajo Río Negro),SMERCE(Mercedes),EJIDO(Ejido)
BRNEGRO(Bajo Río Negro),SMERCE(Mercedes),EMMERCE(E.M. Mercedes)
BRNEGRO(Bajo Río Negro),SMERCE(Mercedes),EMYOUNG(E.M. Young)
BRNEGRO(Bajo Río Negro),SMERCE(Mercedes),LLAGUNA(La Laguna)
BRNEGRO(Bajo Río Negro),SMERCE(Mercedes),PALMITAS(Palmitas)
BRNEGRO(Bajo Río Negro),SMERCE(Mercedes),RCOLOLO(Rincón de Cololó)
BRNEGRO(Bajo Río Negro),SMERCE(Mercedes),SANGRAN(Sánchez Grande)
BRNEGRO(Bajo Río Negro),SMERCE(Mercedes),VDARWIN(Villa Darwin)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),ACEGUA(Aceguá)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),BMEDINA(Bañado de Medina)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),BVISTA(Buena Vista)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CARANORTE(Caraguatá Norte)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CARASUR(Caraguatá Sur)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCARMEN(Cuchilla del Carmen)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCHATO(Cerro Chato)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CCUENTAS(Cerro de la Cuentas)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CENTUR(Centurión)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CERRILLADA(Cerrillada)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),CFARRUCO(Capilla Farruco)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),EMMELO(E.M. Melo)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),FMUERTO(Fraile Muerto)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),HOSPITAL(Hospital)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),LAGUNAII(Laguna II)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),LJUNCO(Laguna del Junco)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),MANGRU(Mangrullo)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),NOBLIA(Pueblo Noblia)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PAGUIAR(Paso Aguiar)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PALLERO(Palleros)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PARBOL(Arbolito (Pereira))
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PCARROS(Paso de los Carros)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PLPIEDRAS(Paso Las Piedras)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PMAZAN(Paso Mazangano)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PPEREI(Paso Pereira)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PRAMIR(Paso Ramírez)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),PYEGUAS(Paso de las Yeguas)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),QUEBRA(Quebracho)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),SDIEGO(San Diego)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),TBOLICHE(Tres Boliches)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),TISLAS(Tres Islas)
GTERRA(Central Rincón del Bonete),SARNEGRO(Alto Río Negro),VICHA(Vichadero)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),ACHAR(Achar)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),BLANQUI(Blanquillo)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CARDOZO(Cardozo)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CFARRUCO(Capilla Farruco)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CLARA(Clara)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),CURTINA(Curtina)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),ELIBERIA(Est. La Iberia)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),EMBONETE(E.M. Bonete)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),EOLAZO(Est. Olazo)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),LPALOMA(La Paloma)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PCUADRA(Paso de los Cuadrados)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PERALTA(Peralta)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PHONDO(Paso Hondo)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PRAMIR(Paso Ramírez)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),PSOLA(Piedra Sola)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),SGREGO(San Gregorio)
GTERRA(Central Rincón del Bonete),SDTERRA(Directa Rincón del Bonete),SJORGE(San Jorge)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),ANSINA(Ansina)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CARANORTE(Caraguatá Norte)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CARASUR(Caraguatá Sur)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CLARA(Clara)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),COMBU(Cuchilla del Ombú)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CPELADO(Cerro Pelado)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CSAUCES(Cinco Sauces)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CTRAVIE(Cerro Travieso)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),CUÑAPIRU(Cuñapirú)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),EATAQUES(Est. Ataques)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),EMRIVERA(E.M. Rivera)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),EMTACUA(E.M. Tacuarembó)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),LAGUNAII(Laguna II)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),LCALERA(La Calera)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),LHILERA(La Hilera)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),LPUENTE(La Puente)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),LUJAN(Luján)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),MCORRAL(Minas de Corrales)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),MDIAZ(Manuel Díaz)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),MOIRON(Moirones)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PATAQUES(Paso Ataques)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PCARRETA(Paso de las Carretas)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PCOELHO(Picada de Coelho)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PCSAUCE(Puntas de Cinco Sauces)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PLAGUNA(Paso Laguna)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PMEDIO(Paso del Medio)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PNOVIL(Paso de los Novillos)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),PTOSCAS(Paso de las Toscas)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),SANJOAQUIN(Aldea San Joaquín)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),TRANQUE(Tranqueras)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),VEDEN(Valle Edén)
GTERRA(Central Rincón del Bonete),STACUA(Tacuarembó),VICHA(Vichadero)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),CARDONA(Cardona)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),CORRAL(Corralito)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),CPERDIDO(Cuchilla del Perdido)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),ELTALA(El Tala)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),EMTRINI(E.M. Trinidad)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),MARIN(Marincho)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),PLUGO(Paso de Lugo)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),PSAUCE(Puntas del Sauce)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),RODO(Rodó)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),SADELA(Santa Adelaida)
PALMAR(Central Constitución),SAGSUR(Arroyo Grande del Sur),SCATAL(Santa Catalina)
PALMAR(Central Constitución),SRIOYI(Río Yí),BARRAPORON(Barra de Porongos)
PALMAR(Central Constitución),SRIOYI(Río Yí),CCHATO(Cerro Chato)
PALMAR(Central Constitución),SRIOYI(Río Yí),CCOLOR(Cerro Colorado)
PALMAR(Central Constitución),SRIOYI(Río Yí),CHAMANGA(Chamangá)
PALMAR(Central Constitución),SRIOYI(Río Yí),CRRIUS(Col. Rossell y Rius)
PALMAR(Central Constitución),SRIOYI(Río Yí),DGALLINAL(Dr. Gallinal)
PALMAR(Central Constitución),SRIOYI(Río Yí),EMDURAZ(E.M. Durazno)
PALMAR(Central Constitución),SRIOYI(Río Yí),EMTRINI(E.M. Trinidad)
PALMAR(Central Constitución),SRIOYI(Río Yí),FELICIANO(Feliciano)
PALMAR(Central Constitución),SRIOYI(Río Yí),GONI(Goñi)
PALMAR(Central Constitución),SRIOYI(Río Yí),MANSAVI(Mansavillagra)
PALMAR(Central Constitución),SRIOYI(Río Yí),NPEREZ(Nico Perez)
PALMAR(Central Constitución),SRIOYI(Río Yí),PANTANO(Pantanoso)
PALMAR(Central Constitución),SRIOYI(Río Yí),PDELBOTE(Paso del Bote)
PALMAR(Central Constitución),SRIOYI(Río Yí),PINTOS(Pintos)
PALMAR(Central Constitución),SRIOYI(Río Yí),PMACIEL(Puntas de Maciel)
PALMAR(Central Constitución),SRIOYI(Río Yí),POLYI(Polanco del Yi)
PALMAR(Central Constitución),SRIOYI(Río Yí),PORONGOS(Porongos - Aviación)
PALMAR(Central Constitución),SRIOYI(Río Yí),SARGRAN(Sarandí Grande)
PALMAR(Central Constitución),SRIOYI(Río Yí),SARYI(Sarandí del Yi)
PALMAR(Central Constitución),SRIOYI(Río Yí),VCARMEN(Villa Carmen)
